Functional_Type,Morphotype,Order,Family,Genus,Species,H8,H39,H40,H42,OTI1,OTI8,OTI20,OTI25,OTI33,OTI34,OTI36,OTI38,OTI39,OTI43,OTI47,OTI51,OTI52,OTI53,OTI54,W1,W2,W7,W12,W15,W20,W21
Heterotrophic,Flattened.tapered,Rotaliida,Tortoplectellidae,Tortoplectella,Abditodentrix rhomboidalis,0,1,0,0,1,2,1,0,1,2,0,2,1,4,4,5,0,0,0,0,0,0,0,0,0,0
Heterotrophic,Plano.convex,Rotaliida,Acervulinidae ,Acervulina,Acervulina mabahethi,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,0,0,0,0,0,0,0
Heterotrophic,Milioline,Miliolida,Hauerinidae,Quinqueloculina,Adelosina carinatastriata,43,83,22,28,33,86,46,66,71,60,28,25,18,43,50,42,0,3,6,27,42,62,66,54,124,77
Heterotrophic,Milioline,Miliolida,Cribrolinoididae,Adelosina,Adelosina cf. A. pulchella,2,0,5,3,0,0,3,0,0,0,0,0,0,0,3,1,0,0,1,0,3,0,0,0,0,0
Symbiont,Milioline,Miliolida,Alveolinidae,Alveolinella,Alveolinella quoii,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opportunistic,Tapered.cylindrical,Lituolida,Lituolidae,Ammobaculites,Ammobaculites sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Symbiont,Plano.convex,Rotaliida,Amphisteginidae,Amphistegina,Amphistegina lessonii,0,3,4,0,3,2,6,6,2,0,0,0,6,4,4,0,9,5,6,1,3,4,2,0,0,6
Symbiont,Plano.convex,Rotaliida,Amphisteginidae,Amphistegina,Amphistegina lobifera,0,0,0,14,2,0,1,0,0,0,0,0,0,0,0,0,4,2,23,0,0,0,3,2,0,0
Symbiont,Plano.convex,Rotaliida,Amphisteginidae,Amphistegina,Amphistegina radiata,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heterotrophic,Tapered.cylindrical,Miliolida,Hauerinidae,Articulina,Articulina alticostata,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,2
Symbiont,Biconvex.trochospiral,Rotaliida,Calcarinidae,Baculogypsina,Baculogypsina sphaerulata,2,7,12,24,0,0,1,0,1,0,0,2,5,0,1,1,0,0,4,0,0,2,0,0,2,0
Opportunistic,Flattened.tapered,Rotaliida,Bolivinitidae,Bolivina,Bolivina variabilis,0,0,0,0,0,8,3,2,5,7,0,5,0,9,6,4,0,2,0,0,0,0,0,0,0,0
