Site,Depth,Lat,Lng,Pos
H8,4.2,-23.446267,151.949717,3
H39,4,-23.454639,151.965361,1
H40,1.7,-23.453972,151.956278,1
H42,2.1,-23.452500,151.946750,1
O1,7,-23.486528,152.076806,4
O8,7,-23.498278,152.082361,1
O20,5,-23.493611,152.050806,4
O25,7,-23.497250,152.078111,3
O33,3,-23.504417,152.079167,1
O34,7,-23.498056,152.072306,3
O36,7,-23.489861,152.076194,2
O38,7,-23.494944,152.080972,4
O39,3,-23.498000,152.086639,4
O43,7,-23.502306,152.077778,2
O47,5,-23.498861,152.052611,2
O51,5,-23.503889,152.059472,2
O52,5,-23.503917,152.063361,1
O53,5,-23.499694,152.062611,2
O54,7,-23.499056,152.068361,1
W1,3.3,-23.474278,151.853639,2
W2,2,-23.475944,151.857833,1
W7,2.9,-23.475528,151.867333,3
W12,3.2,-23.469861,151.878583,2
W15,3,-23.473472,151.873278,1
W20,3.2,-23.471750, 151.882694,4
W21,3.8,-23.465000, 151.878167,3
Core,,-23.496770,152.065870,3
