Functional_Type,Morphotype,Order,Family,Genus,Species,L060.F250,L060.F125,L060.F063,L002.F250,L002.F125,L002.F063,L110.F250,L110.F125,L110.F063,L012.F250,L012.F125,L140.F250,L140.F125,L032.F250,L032.F125,L037.F250,L037.F125,L007.F250,L007.F125,L150.F250,L150.F125
Heterotrophic,Flattened.tapered,Rotaliida,Tortoplectellidae,Tortoplectella,Abditodentrix rhomboidalis,,13,1,1,3,2,,10,5,,8,,2,,18,1,16,1,15,,5
Heterotrophic,Plano.convex,Rotaliida,Acervulinidae ,Acervulina,Acervulina mabahethi,,1,0,1,,,,1,,,1,2,,,3,,,,,,
Heterotrophic,Milioline,Miliolida ,Hauerinidae,Quinqueloculina,Adelosina carinatastriata,,6,2,2,4,3,1,7,1,2,5,1,3,1,11,1,11,,10,,8
Heterotrophic,Milioline,Miliolida ,Cribrolinoididae,Adelosina,Adelosina cf. A. pulchella,,1,,,,,,,,,1,,,,,,,,,,
Symbiont,Plano.convex,Rotaliida,Amphisteginidae,Amphistegina ,Amphistegina spp,,0,,,1,,,,,,,,,,1,,,,1,,1
Opportunistic,Plano.convex,Rotaliida,Ammoniidae,Ammonia,Ammonia sp,,0,,,,,,1,1,,,,,,,,,1,,,
Heterotrophic,Tapered.cylindrical,Miliolida ,Hauerinidae,Articulina,Articulina spp,,,,,,,,1,,,,,,,,,,,2,,1
Heterotrophic,Biconvex.trochospiral,Rotaliida,Epistomariidae,Asanonella,Asanonella,,,1,,,,,,,,,,,,,,,,,,
Opportunistic,Rounded.trochospiral,Rotaliida,Cassidulinidae,Globocassidulina,Globocassidulina bisecta,,2,1,,,1,,1,,,,,1,1,,,1,,2,,
Opportunistic,Flattened.tapered,Rotaliida,Bolivinitidae,Bolivina,Bolivina variabilis,,8,5,2,9,34,,4,34,,5,,9,2,25,,6,4,39,,6
Opportunistic,Flattened.tapered,Rotaliida,Bolivinitidae,Bolivina,Bolivina striatula,,,2,,,2,,0,2,,,,,,1,,,,,,
Opportunistic,Flattened.tapered,Rotaliida,Bolivinitidae,Bolivina,Bolivina spp,,5,10,,,,,3,2,1,2,,,,6,,3,,9,,
Opportunistic,Tapered.cylindrical,Rotaliida,Buliminidae ,Bulimina,Bulimina marginata,,,,,1,,,,,,,,,,,,,,,,
Opportunistic,Tapered.cylindrical,Rotaliida,Buliminoididae,Buliminoides,Buliminoides williamsoniana,,2,,,2,1,,2,2,,2,,1,,4,,,,1,,
Symbiont,Biconvex.trochospiral,Rotaliida,Calcarinidae,Calcarina,Calcarina capricornia n. sp.,1,,,1,,,1,,,,,1,,1,,2,,1,,,
Heterotrophic,Plano.convex,Rotaliida,Victoriellidae,Carpenteria,Carpenteria monticularis,,,,,,,,,,,,,,,1,,,,,,
Heterotrophic,Plano.convex,Rotaliida,Cibicididae,Cibicidoides,Cibicioides spp,,10,1,3,7,3,,6,4,,9,,6,1,12,,21,1,29,,4
Opportunistic,Tapered.cylindrical,Textulariida,Olgiidae,Olgita,Olgita pacifica,,,,,,,,2,,,,,,,,,,,,,
Heterotrophic,Plano.convex,Spirillinida,Planispirillinidae,Conicospirillinoides,Conicospirillinoides sp. 1,,,,,,,,2,,,0,,1,,1,,1,,3,,
Heterotrophic,Rounded.planispiral,Miliolida ,Cornuspiridae,Cornuspira,Cornuspira planorbis,,1,,,,,,,,,,,2,,3,,,,3,1,1
Heterotrophic,Plano.convex,Rotaliida,Cymbaloporidae,Cymbaloporella ,Cymbaloporella tabellaeformis,0,3,,2,2,,2,2,,1,2,,1,1,3,,4,3,3,0,2
